Team,WinLoss perc,PD,Year,FGM,FG_perc,RedZone_perc,playoff_win_perc,Score_perc,Turnover_perc,RushYperG,PassYperG,PointperG,possperG,YallowedperG,PointallowedperG,perc_punt_20,Result
New England Patriots,68.8,111,2018,27,84.4,59.6,68.75,40.8,9.2,127.3,266.1,27.2,0.518055556,359.1,20.3,36,Win
Miami Dolphins,43.8,-114,2018,18,90,51.6,0,28.3,12.5,108.6,181.2,19.9,0.468333333,391.1,27.1,40.2,Loss
Buffalo Bills,37.5,-105,2018,22,78.6,59.5,0,26.4,15.5,124,174.6,16.8,0.508055556,294.1,23.4,32.96666667,Loss
New York Jets,25,-108,2018,33,91.7,44.4,0,32,14.7,101.4,197.8,20.8,0.486111111,380.4,27.6,28,Loss
Baltimore Ravens,62.5,102,2018,35,89.7,55.9,62.5,40.7,10.7,152.6,222.4,24.3,0.548333333,292.9,17.9,42.4,Loss
Pittsburgh Steelers,59.4,68,2018,16,69.6,73.5,0,36.8,14.3,90.3,313,26.8,0.516666667,327.2,22.5,44.4,Loss
Cleveland Browns,46.9,-33,2018,19,76,66.7,0,31.2,11.4,118.3,250.4,22.4,0.491111111,393,24.5,0,Loss
Cincinnati Bengals,37.5,-87,2018,19,82.6,71.1,0,35.5,9.6,105.1,205.6,23,0.457222222,413.6,28.4,40.8,Loss
Houston Texans,68.8,86,2018,37,88.1,50,68.75,40.3,8.1,126.3,236.3,25.1,0.512777778,343.1,19.8,48.1,Loss
Indianapolis Colts,62.5,89,2018,23,85.2,68.8,62.5,41.2,13.2,107.4,278.8,27.1,0.501111111,339.7,21.5,41.2,Loss
Tennessee Titans,56.3,7,2018,26,86.7,53.2,0,34.9,10.2,126.7,185.9,19.4,0.496111111,333.4,18.9,52.7,Loss
Jacksonville Jaguars,31.3,-71,2018,23,88.5,44.1,0,25,15.6,107.7,194.3,15.3,0.503611111,311.4,19.8,43,Loss
Kansas City Chiefs,75,144,2018,24,88.9,71.8,75,52.6,10.5,115.9,309.7,35.3,0.486388889,405.5,26.3,45.3,Loss
Los Angeles Chargers,75,99,2018,24,82.8,64.2,75,42.4,10,117.1,255.6,26.8,0.511666667,333.7,20.6,27.6,Loss
Denver Broncos,37.5,-20,2018,20,80,56.8,0,30.6,11.3,119.2,230.9,20.6,0.482777778,365.1,21.8,34.4,Loss
Las Vegas Raiders,25,-177,2018,27,84.4,53.5,0,31.3,13.6,101.8,234.4,18.1,0.516388889,381.4,29.2,24.3,Loss
Dallas Cowboys,62.5,15,2018,29,80.6,48,62.5,37.9,10.1,122.7,221.1,21.2,0.525277778,329.2,20.2,26.1,Loss
Philadelphia Eagles,56.3,19,2018,26,83.9,57.9,56.25,38.1,12.5,98.1,267.2,22.9,0.543888889,366.2,21.8,39.4,Loss
Washington Commanders,43.8,-78,2018,26,89.7,52.5,0,31.8,11.2,110.9,188.8,17.6,0.493611111,353.4,22.4,51.9,Loss
New York Giants,31.3,-43,2018,32,97,50,0,38.4,9.6,103.1,252.9,23.1,0.482222222,371.4,25.8,28.2,Loss
Chicago Bears,75,138,2018,23,76.7,66.7,75,36.8,13.2,121.1,222.8,26.3,0.539444444,299.7,17.7,47.1,Loss
Minnesota Vikings,53.1,19,2018,22,68.8,54,0,32.4,10.6,93.3,252.2,22.5,0.492777778,309.7,21.3,38.6,Loss
Green Bay Packers,40.6,-24,2018,30,81.1,61.7,0,38.8,6.7,104.2,264.9,23.5,0.500555556,354.4,25,26.8,Loss
Detroit Lions,37.5,-36,2018,28,87.5,53.1,0,35.3,11,103.8,223.5,20.2,0.523055556,335,22.5,43.2,Loss
New Orleans Saints,81.3,151,2018,28,93.3,69.6,81.25,51.8,9.5,126.6,252.6,31.5,0.531111111,349.1,22.1,34,Loss
Atlanta Falcons,43.8,-9,2018,25,96.2,64,0,42.9,10.7,98.3,290.8,25.9,0.493055556,384.5,26.4,37.1,Loss
Carolina Panthers,43.8,-6,2018,19,90.5,62.1,0,37,12.1,133.5,239.8,23.5,0.511944444,353.2,23.9,39.3,Loss
Tampa Bay Buccaneers,31.3,-68,2018,20,74.1,60,0,37,19,95.2,320.3,24.8,0.508055556,383.4,29,26.3,Loss
Los Angeles Rams,81.3,143,2018,34,82.9,57.5,81.25,48.6,9.8,139.4,281.7,32.9,0.511388889,358.6,24,47.4,Loss
Seattle Seahawks,62.5,81,2018,22,81.5,65.5,62.5,39.8,6.1,160,193.3,26.8,0.524444444,353.3,21.7,34.1,Loss
San Francisco 49ers,25,-93,2018,33,97.1,41.2,0,37,17.1,118.9,241.7,21.4,0.498611111,346.6,27.2,32.4,Loss
Arizona Cardinals,18.8,-200,2018,12,70.6,64.3,0,19.3,15,83.9,157.7,14.1,0.4425,358.8,26.6,34,Loss
New England Patriots,75,195,2019,27,79.4,50,75,36.3,7.4,106.4,247.6,26.2,0.528333333,275.9,14.1,44.2,Loss
Buffalo Bills,62.5,55,2019,22,78.6,56.8,62.5,30.1,10.2,128.4,201.8,19.6,0.499722222,298.2,16.2,42.2,Loss
New York Jets,43.8,-83,2019,19,67.9,54.5,0,23.3,11.6,78.6,194.4,17.2,0.481111111,323.1,22.4,32.2,Loss
Miami Dolphins,31.3,-188,2019,23,76.7,56.3,0,30.2,13.7,72.2,237.8,19.1,0.481944444,397.8,30.9,33.3,Loss
Baltimore Ravens,87.5,249,2019,28,96.6,67.2,87.5,51.8,8.4,206,201.6,33.2,0.579722222,300.6,17.6,51.2,Loss
Pittsburgh Steelers,50,-14,2019,29,93.5,35,0,28.9,16,90.4,186.3,18.1,0.480555556,304.1,18.9,32.4,Loss
Cleveland Browns,37.5,-58,2019,25,86.2,58,0,33.9,14.8,118.8,222.1,20.9,0.495,361.6,24.6,44.4,Loss
Cincinnati Bengals,12.5,-141,2019,27,87.1,43.8,0,29.8,15.5,94.8,228.2,17.4,0.493611111,393.7,26.2,40,Loss
Houston Texans,62.5,-7,2019,20,80,64.2,62.5,37.9,12.4,125.6,236.4,23.6,0.500555556,388.3,24.1,54.7,Loss
Tennessee Titans,56.3,71,2019,8,44.4,75.6,56.25,31.4,8.6,138.9,223.9,25.1,0.475,359.5,20.7,46.2,Loss
Indianapolis Colts,43.8,-12,2019,22,71,64.3,0,36.3,11.3,133.1,194.2,22.6,0.503055556,346.8,23.3,37.3,Loss
Jacksonville Jaguars,37.5,-97,2019,33,97.1,40.4,0,33.9,10.2,106.8,235,18.8,0.508055556,375.4,24.8,33.3,Loss
Kansas City Chiefs,75,143,2019,34,89.5,54,75,48.8,7.9,98.1,281.1,28.2,0.490833333,349.6,19.2,42.9,Win
Denver Broncos,43.8,-34,2019,29,85.3,47.6,0,32.4,9.2,103.9,194.7,17.6,0.488888889,337,19.8,37.2,Loss
Las Vegas Raiders,43.8,-106,2019,19,73.1,52.8,0,32.7,9.7,118.3,245.4,19.6,0.516944444,354.8,26.2,49.3,Loss
Los Angeles Chargers,31.3,-8,2019,26,76.5,52.8,0,38.8,18.1,90.8,276.6,21.1,0.512777778,313.1,21.6,35.4,Loss
Philadelphia Eagles,56.3,31,2019,22,84.6,66.7,56.25,34.8,10.7,121.2,239.6,24.1,0.551666667,331.7,22.1,39.2,Loss
Dallas Cowboys,50,113,2019,30,75,57.4,0,44.6,10.3,134.6,296.9,27.1,0.492222222,327,20.1,36,Loss
New York Giants,25,-110,2019,12,70.6,57.1,0,28.6,17.8,105.3,233.2,21.3,0.478611111,377.3,28.2,42,Loss
Washington Commanders,18.8,-169,2019,25,83.3,48.8,0,29.5,11.9,98.9,175.8,16.6,0.453055556,385.1,27.2,38,Loss
Green Bay Packers,81.3,63,2019,22,91.7,64,81.25,37.3,6.8,112.2,233.3,23.5,0.524166667,352.6,19.6,36.5,Loss
Minnesota Vikings,62.5,104,2019,27,93.1,60.7,62.5,41.6,10.4,133.3,220.2,25.4,0.480277778,341.6,18.9,37.8,Loss
Chicago Bears,50,-18,2019,23,82.1,52.2,0,29.1,10.3,91.1,205.7,17.5,0.504444444,324.1,18.6,32.5,Loss
Detroit Lions,21.9,-82,2019,26,83.9,59.5,0,33.3,12,103.1,243.8,21.3,0.485833333,400.4,26.4,40.8,Loss
New Orleans Saints,81.3,117,2019,32,88.9,59.6,81.25,46.2,4,108.6,265.2,28.6,0.538333333,333.1,21.3,46.2,Loss
Atlanta Falcons,43.8,-18,2019,32,80,51.7,0,40.8,13.2,85.1,294.6,23.8,0.515277778,355.8,24.9,50,Loss
Tampa Bay Buccaneers,43.8,9,2019,27,77.1,64.8,0,37.9,20.2,95.1,302.8,28.6,0.515277778,343.9,28.1,33.3,Loss
Carolina Panthers,31.3,-130,2019,25,78.1,58,0,32.3,16.7,113.7,228.1,21.2,0.481666667,374.5,29.4,33.3,Loss
San Francisco 49ers,81.3,169,2019,30,76.9,53.2,81.25,44.3,12,144.1,237,29.9,0.526944444,281.8,19.4,45,Loss
Seattle Seahawks,68.8,7,2019,23,82.1,63.3,68.75,36.5,10.6,137.5,236.9,25.3,0.523611111,381.6,24.9,46.9,Loss
Los Angeles Rams,56.3,30,2019,24,72.7,64.4,0,35.7,13,93.7,281.2,24.6,0.483333333,339.6,22.8,33.3,Loss
Arizona Cardinals,34.4,-81,2019,31,88.6,45.3,0,38.8,10.1,124.4,217.3,22.6,0.461388889,402,27.6,34.4,Loss
Buffalo Bills,81.3,126,2020,28,82.4,61.8,81.25,49.4,11.8,107.7,288.8,31.3,0.529166667,352.5,23.4,44.2,Loss
Miami Dolphins,62.5,66,2020,36,92.3,58.3,0,41.4,11,105.5,233.5,25.2,0.521111111,367.9,21.1,38.2,Loss
New England Patriots,43.8,-27,2020,26,92.9,54.2,0,36.9,12.1,146.6,180.6,20.4,0.4825,353.8,22.1,56.4,Loss
New York Jets,12.5,-214,2020,21,75,42.1,0,26.3,10.9,105.2,174.8,15.2,0.464722222,387.6,28.6,23.2,Loss
Pittsburgh Steelers,75,104,2020,23,95.8,63.5,75,37.2,8.5,84.4,250.2,26,0.513333333,305.8,19.5,35.4,Loss
Baltimore Ravens,68.8,165,2020,26,89.7,63.3,68.75,45.3,10.6,191.9,171.2,29.2,0.525,329.8,18.9,40.4,Loss
Cleveland Browns,68.8,-11,2020,19,79.2,73.6,68.75,40.6,9.7,148.4,221.2,25.5,0.515,358.4,26.2,29.3,Loss
Cincinnati Bengals,28.1,-113,2020,27,79.4,50,0,33,12.8,104.2,215.5,19.4,0.519166667,389.2,26.5,26.8,Loss
Tennessee Titans,68.8,52,2020,20,71.4,75,68.75,47.9,7.2,168.1,228.3,30.7,0.478333333,398.2,27.4,61.9,Loss
Indianapolis Colts,68.8,89,2020,32,86.5,58.3,68.75,44.4,8.8,124.8,253.3,28.2,0.518333333,332.1,22.6,45.5,Loss
Houston Texans,25,-80,2020,27,87.1,54,0,42.9,9.8,91.6,283.6,24,0.455,416.8,29,0,Loss
Jacksonville Jaguars,6.3,-186,2020,18,72,60,0,30.4,14,94.9,231.2,19.1,0.464166667,417.7,30.8,33.9,Loss
Kansas City Chiefs,87.5,111,2020,25,92.6,61,87.5,47.9,9.2,112.4,303.4,29.6,0.508611111,358.3,22.6,37.5,Loss
Las Vegas Raiders,50,-44,2020,33,94.3,54.2,0,47.9,14.8,119.8,263.6,27.1,0.517777778,389.1,29.9,45.5,Loss
Los Angeles Chargers,43.8,-42,2020,24,72.7,57.1,0,38.3,8.6,111.5,270.6,24,0.5325,343.4,26.6,21.1,Loss
Denver Broncos,31.3,-123,2020,28,80,53.3,0,33,17,119.9,215.7,20.2,0.482777778,367.9,27.9,29.2,Loss
Washington Commanders,43.8,6,2020,27,79.4,57.4,43.75,33.3,13.1,100.7,216.6,20.9,0.498333333,304.6,20.6,30.8,Loss
New York Giants,37.5,-77,2020,31,96.9,46.3,0,33.5,12.6,110.5,189.1,17.5,0.478333333,349.3,22.3,43.1,Loss
Dallas Cowboys,37.5,-78,2020,34,82.9,50,0,40.6,14.4,111.8,260.1,24.7,0.4725,386.4,29.6,31.5,Loss
Philadelphia Eagles,28.1,-84,2020,14,73.7,60.9,0,27.9,15.3,126.7,207.9,20.9,0.4875,363.1,26.1,36.6,Loss
Green Bay Packers,81.3,140,2020,16,100,80,81.25,49.7,5.6,132.4,256.6,31.8,0.542777778,334,23.1,31.4,Loss
Chicago Bears,50,2,2020,30,93.8,56.4,50,38.9,12,102.9,228.4,23.2,0.507777778,344.9,23.1,42.3,Loss
Minnesota Vikings,43.8,-45,2020,15,68.2,71.2,0,39.8,12.5,142.7,250.6,26.9,0.500555556,393.2,29.7,20.4,Loss
Detroit Lions,31.3,-142,2020,21,75,66,0,38.5,11.2,93.7,256.5,23.6,0.465,419.8,32.4,44.1,Loss
New Orleans Saints,75,145,2020,23,82.1,72.1,75,45.5,9,141.6,234.9,30.1,0.536111111,310.9,21.1,38.8,Loss
Tampa Bay Buccaneers,68.8,137,2020,28,90.3,68.9,68.75,47.8,8.9,94.9,289.1,30.8,0.481666667,327.1,22.2,38.2,Win
Carolina Panthers,31.3,-52,2020,29,80.6,50.9,0,40.3,13.2,106.5,243,21.9,0.516388889,360.1,25.1,46.7,Loss
Atlanta Falcons,25,-18,2020,38,95,53.4,0,44.8,10.3,95.8,272.7,24.8,0.511388889,398.4,25.9,30.4,Loss
Seattle Seahawks,75,88,2020,24,100,73.2,75,44.4,10.1,123.2,246.3,28.7,0.501944444,380.6,23.2,50.7,Loss
Los Angeles Rams,62.5,76,2020,24,80,57.9,62.5,34.2,12.5,126.1,250.9,23.2,0.533611111,281.9,18.5,36.7,Loss
Arizona Cardinals,50,43,2020,23,76.7,65.5,0,40.2,11.7,139.8,244.8,25.6,0.484166667,351.9,22.9,36.2,Loss
San Francisco 49ers,37.5,-14,2020,22,84.6,67.3,0,36.3,14.8,118.1,252.1,23.5,0.523055556,314.4,24.4,37.9,Loss
Buffalo Bills,64.7,194,2021,28,87.5,62.3,64.70588235,45.2,11.3,129.9,252,28.4,0.528333333,272.8,17,35.7,Loss
New England Patriots,58.8,159,2021,36,92.3,61.9,58.82352941,48,12.6,126.5,226.9,27.2,0.510555556,310.8,17.8,48.1,Loss
Miami Dolphins,52.9,-32,2021,23,74.2,61.2,0,30.1,12.4,92.2,214.8,20.1,0.508333333,337.5,21.9,39.7,Loss
New York Jets,23.5,-194,2021,21,77.8,54.9,0,29.4,14.4,98.1,208.3,18.2,0.463888889,397.6,29.6,34.1,Loss
Cincinnati Bengals,58.8,84,2021,29,85.3,59.6,58.82352941,42.6,10,102.5,259,27.1,0.523888889,350.8,22.1,31.7,Loss
Pittsburgh Steelers,55.9,-55,2021,36,90,54,56.25,34.7,9.5,93.1,222.2,20.2,0.5,361.1,23.4,33.55,Loss
Cleveland Browns,47.1,-22,2021,16,72.7,62,0,32.2,12.4,145.4,195.3,20.5,0.513333333,311.5,21.8,31.4,Loss
Baltimore Ravens,47.1,-5,2021,35,94.6,61.8,0,38.5,13.3,145.8,233,22.8,0.554444444,363.4,23.1,36.6,Loss
Tennessee Titans,70.6,65,2021,26,81.3,63.9,70.58823529,38.9,13,141.4,201.1,24.6,0.555555556,329.8,20.8,41.2,Loss
Indianapolis Colts,52.9,86,2021,29,82.9,56.3,0,43.3,8.9,149.4,197.7,26.5,0.534166667,343.2,21.5,40.7,Loss
Houston Texans,23.5,-172,2021,21,77.8,51.4,0,26.6,11.2,83.6,194.4,16.5,0.470555556,384.4,26.6,42,Loss
Jacksonville Jaguars,17.6,-204,2021,21,77.8,51.3,0,26.4,15.7,103.2,202.1,14.9,0.455833333,353.1,26.9,43.8,Loss
Kansas City Chiefs,70.6,116,2021,28,87.5,59.4,70.58823529,48.2,13.7,115,281.8,28.2,0.515833333,368.9,21.4,43.25,Loss
Las Vegas Raiders,58.8,-65,2021,40,93,51.7,58.82352941,41,12.8,95.1,268.6,22,0.516666667,337.2,25.8,42.4,Loss
Los Angeles Chargers,52.9,15,2021,24,88.9,64,0,45.7,12,107.9,282.4,27.9,0.491666667,360.1,27,23.9,Loss
Denver Broncos,41.2,13,2021,26,83.9,54.7,0,36.9,9.5,119.1,211.4,19.7,0.513333333,326.1,18.9,41.8,Loss
Dallas Cowboys,70.6,172,2021,29,82.9,63.1,70.58823529,43.8,9.9,124.6,282.4,31.2,0.511111111,351,21.1,38.6,Loss
Philadelphia Eagles,52.9,59,2021,30,90.9,62.3,52.94117647,43.4,9.2,159.7,200.2,26.1,0.498611111,328.8,22.6,31.1,Loss
Washington Commanders,41.2,-99,2021,28,84.8,51,0,34.6,13.4,121.2,202.4,19.7,0.511944444,359.3,25.5,36.7,Loss
New York Giants,23.5,-158,2021,29,87.9,44.7,0,27.5,15.9,99.3,188,15.2,0.478333333,354.8,24.5,32.4,Loss
Green Bay Packers,76.5,79,2021,25,73.5,58.6,76.47058824,44.5,6.4,111.8,253.8,26.5,0.549444444,328.2,21.8,31,Loss
Minnesota Vikings,47.1,-1,2021,33,86.8,62.3,0,39.3,6.6,113.5,249.3,25,0.493611111,383.6,25.1,33.3,Loss
Chicago Bears,35.3,-96,2021,26,86.7,47.9,0,31.5,15.2,118.7,188.6,18.3,0.505277778,316.7,23.9,30.6,Loss
Detroit Lions,20.6,-142,2021,26,86.7,46.7,0,34.3,12.9,110.9,211.6,19.1,0.486666667,379.8,27.5,26.2,Loss
Tampa Bay Buccaneers,76.5,158,2021,25,80.6,66.2,76.47058824,44.3,9.8,98.4,307.6,30.1,0.507777778,331.5,20.8,38.8,Loss
New Orleans Saints,52.9,29,2021,25,83.3,58.9,0,33.7,8.7,117.1,187.4,21.4,0.510277778,318.2,19.7,34.9,Loss
Atlanta Falcons,41.2,-146,2021,27,93.1,53.7,0,32.8,14.7,85.4,218.4,18.4,0.469166667,364.4,27,40,Loss
Carolina Panthers,29.4,-100,2021,26,89.7,53.2,0,29.2,14.9,108.4,190.5,17.9,0.511944444,305.9,23.8,21.1,Loss
Los Angeles Rams,70.6,88,2021,32,94.1,60,70.58823529,45.9,12.2,99,273.1,27.1,0.484166667,344.9,21.9,47.8,Win
Arizona Cardinals,64.7,83,2021,30,81.1,60,64.70588235,44.7,7.8,122.1,251.5,26.4,0.520833333,329.2,21.5,20.1,Loss
San Francisco 49ers,58.8,62,2021,27,84.4,66.7,58.82352941,41.2,11.5,127.4,248.3,25.1,0.519166667,310,21.5,38,Loss
Seattle Seahawks,41.2,29,2021,17,73.9,64.6,0,34.8,7,122,201.9,23.2,0.425833333,379.1,21.5,48.2,Loss
